engine_id,cycle,set1,set2,set3,sensor_val1,sensor_val2,sensor_val3,sensor_val4,sensor_val5,sensor_val6,sensor_val7,sensor_val8,sensor_val9,sensor_val10,sensor_val11,sensor_val12,sensor_val13,sensor_val14,sensor_val15,sensor_val16,sensor_val17,sensor_val18,sensor_val19,sensor_val20,sensor_val21
1,1,100.0,0.0023,0.0003,9050.17,521.72,8125.55,1585.29,553.9,38.86,518.67,0.03,2388.03,1398.21,100.0,392,2388.04,1.3,643.02,2388,8.4052,21.61,47.2,14.62,23.3735
1,2,100.0,-0.0027,-0.0003,9054.42,522.16,8139.62,1588.45,554.85,39.02,518.67,0.03,2388.06,1395.42,100.0,393,2388.01,1.3,641.71,2388,8.3803,21.61,47.5,14.62,23.3916
1,3,100.0,0.0003,0.0001,9056.96,521.97,8130.1,1586.94,554.11,39.08,518.67,0.03,2388.03,1401.34,100.0,393,2388.05,1.3,642.46,2388,8.4441,21.61,47.5,14.62,23.4166
1,4,100.0,0.0042,0.0,9045.29,521.38,8132.9,1584.12,554.07,39.0,518.67,0.03,2388.05,1406.42,100.0,391,2388.03,1.3,642.44,2388,8.3917,21.61,47.28,14.62,23.3737
1,5,100.0,0.0014,0.0,9044.55,522.15,8129.54,1587.19,554.16,38.99,518.67,0.03,2388.03,1401.92,100.0,390,2388.01,1.3,642.51,2388,8.4031,21.61,47.31,14.62,23.413
1,6,100.0,0.0012,0.0003,9050.96,521.92,8127.46,1579.12,554.22,38.91,518.67,0.03,2388.08,1395.13,100.0,392,2388.0,1.3,642.11,2388,8.4238,21.61,47.26,14.62,23.3467
1,7,100.0,-0.0,0.0002,9051.39,522.01,8134.97,1583.34,553.89,38.85,518.67,0.03,2388.06,1404.84,100.0,391,2388.05,1.3,642.11,2388,8.3914,21.61,47.31,14.62,23.3952
1,8,100.0,0.0006,-0.0,9052.86,522.09,8125.93,1580.89,553.59,39.05,518.67,0.03,2388.06,1400.89,100.0,393,2388.05,1.3,642.54,2388,8.4213,21.61,47.21,14.62,23.3224
1,9,100.0,-0.0036,0.0,9048.55,522.03,8134.15,1593.29,554.49,39.1,518.67,0.03,2388.05,1412.28,100.0,391,2388.06,1.3,641.88,2388,8.4353,21.61,47.37,14.62,23.4521
1,10,100.0,-0.0025,-0.0001,9051.95,522.0,8134.08,1585.25,554.28,38.87,518.67,0.03,2388.06,1398.64,100.0,391,2388.04,1.3,642.07,2388,8.4093,21.61,47.14,14.62,23.382
1,11,100.0,0.0007,-0.0004,9051.67,521.95,8132.38,1581.03,554.69,39.06,518.67,0.03,2388.06,1403.83,100.0,391,2388.04,1.3,642.04,2388,8.3919,21.61,47.23,14.62,23.3609
1,12,100.0,0.0026,0.0003,9050.02,522.01,8132.33,1587.43,554.35,39.11,518.67,0.03,2388.06,1397.82,100.0,391,2388.02,1.3,642.54,2388,8.3984,21.61,47.27,14.62,23.3845
1,13,100.0,-0.0056,0.0003,9045.67,522.37,8131.12,1589.09,554.04,39.08,518.67,0.03,2388.03,1403.94,100.0,392,2388.02,1.3,641.94,2388,8.4166,21.61,47.35,14.62,23.3677
1,14,100.0,0.0017,-0.0004,9045.3,521.95,8130.3,1583.16,554.66,39.03,518.67,0.03,2388.06,1402.88,100.0,392,2388.03,1.3,642.23,2388,8.4293,21.61,47.24,14.62,23.4572
1,15,100.0,-0.0003,-0.0003,9052.59,521.38,8133.62,1584.81,554.15,39.04,518.67,0.03,2388.0,1398.79,100.0,392,2388.0,1.3,642.5,2388,8.4163,21.61,47.35,14.62,23.3672
1,16,100.0,-0.0018,0.0003,9041.94,522.16,8133.83,1584.51,553.82,38.87,518.67,0.03,2388.1,1407.76,100.0,390,2388.1,1.3,642.32,2388,8.43,21.61,47.39,14.62,23.3484
1,17,100.0,0.0014,0.0002,9045.85,522.09,8126.78,1582.7,554.42,39.09,518.67,0.03,2388.02,1404.12,100.0,391,2388.06,1.3,642.19,2388,8.4577,21.61,47.27,14.62,23.3409
1,18,100.0,0.0035,0.0001,9048.12,522.14,8133.22,1586.53,553.5,38.96,518.67,0.03,2388.06,1403.69,100.0,391,2388.04,1.3,642.59,2388,8.4323,21.61,47.44,14.62,23.4481
1,19,100.0,0.0029,0.0001,9046.9,522.06,8129.31,1585.58,553.87,39.06,518.67,0.03,2388.01,1402.3,100.0,391,2388.01,1.3,642.43,2388,8.3892,21.61,47.25,14.62,23.3809
1,20,100.0,0.0011,-0.0001,9041.12,522.28,8128.59,1587.78,554.31,39.0,518.67,0.03,2388.05,1400.7,100.0,392,2388.05,1.3,642.61,2388,8.4099,21.61,47.46,14.62,23.3325
1,21,100.0,0.0038,-0.0002,9053.73,522.05,8126.86,1583.3,554.42,38.96,518.67,0.03,2388.11,1399.2,100.0,392,2388.05,1.3,642.7,2388,8.4174,21.61,47.36,14.62,23.4025
1,22,100.0,0.0012,0.0001,9046.45,521.41,8128.89,1582.78,553.43,38.94,518.67,0.03,2388.04,1404.06,100.0,392,2388.0,1.3,642.45,2388,8.4557,21.61,47.26,14.62,23.377
1,23,100.0,0.0009,-0.0,9052.06,522.0,8130.97,1587.51,555.07,39.1,518.67,0.03,2388.06,1395.09,100.0,393,2388.04,1.3,642.12,2388,8.4116,21.61,47.19,14.62,23.3186
1,24,100.0,-0.0006,-0.0001,9043.32,522.06,8130.7,1594.29,553.27,38.94,518.67,0.03,2388.12,1400.15,100.0,393,2388.07,1.3,642.32,2388,8.4074,21.61,47.29,14.62,23.3971
1,25,100.0,0.0028,-0.0003,9043.8,522.26,8128.65,1582.43,553.76,38.96,518.67,0.03,2388.08,1400.23,100.0,393,2388.11,1.3,642.25,2388,8.4007,21.61,47.37,14.62,23.3785
1,26,100.0,0.0047,-0.0005,9053.43,521.95,8129.12,1583.28,554.59,38.77,518.67,0.03,2388.07,1408.07,100.0,391,2388.08,1.3,642.48,2388,8.3949,21.61,47.33,14.62,23.3557
1,27,100.0,-0.0007,0.0001,9046.1,521.82,8127.24,1586.65,554.35,38.87,518.67,0.03,2388.02,1400.31,100.0,392,2388.09,1.3,642.08,2388,8.4494,21.61,47.34,14.62,23.3931
1,28,100.0,0.0022,0.0005,9055.56,521.84,8134.89,1594.25,553.56,38.83,518.67,0.03,2388.07,1401.29,100.0,392,2388.07,1.3,641.93,2388,8.447,21.61,47.05,14.62,23.3502
1,29,100.0,0.0014,0.0001,9046.11,522.39,8133.13,1587.15,554.15,39.02,518.67,0.03,2388.07,1398.11,100.0,392,2388.08,1.3,641.95,2388,8.4212,21.61,47.42,14.62,23.3621
1,30,100.0,-0.0025,0.0004,9047.45,521.78,8134.79,1585.72,554.1,39.09,518.67,0.03,2388.1,1400.97,100.0,391,2388.09,1.3,642.79,2388,8.411,21.61,47.4,14.62,23.4069
1,31,100.0,-0.0006,0.0004,9056.4,521.79,8130.11,1581.22,554.42,38.81,518.67,0.03,2388.06,1398.91,100.0,393,2388.08,1.3,642.58,2388,8.4024,21.61,47.23,14.62,23.3552
2,1,100.0,-0.0009,0.0004,9040.2,521.62,8129.59,1589.3,553.14,39.0,518.67,0.03,2388.14,1407.16,100.0,392,2388.1,1.3,642.66,2388,8.4283,21.61,47.43,14.62,23.3923
2,2,100.0,-0.0011,0.0002,9053.77,522.02,8120.05,1588.43,553.53,38.84,518.67,0.03,2388.08,1405.47,100.0,393,2388.07,1.3,642.51,2388,8.4414,21.61,47.45,14.62,23.2902
2,3,100.0,0.0002,0.0003,9036.57,521.29,8126.75,1595.6,553.34,39.02,518.67,0.03,2388.08,1410.86,100.0,394,2388.13,1.3,642.58,2388,8.3804,21.61,47.45,14.62,23.4064
2,4,100.0,0.0025,0.0001,9047.06,521.57,8129.91,1583.43,554.15,38.82,518.67,0.03,2388.06,1408.23,100.0,393,2388.14,1.3,642.31,2388,8.4342,21.61,47.42,14.62,23.4699
2,5,100.0,0.0004,-0.0004,9043.96,521.59,8127.01,1585.03,553.98,38.81,518.67,0.03,2388.11,1407.6,100.0,392,2388.13,1.3,642.77,2388,8.4247,21.61,47.47,14.62,23.3895
2,6,100.0,-0.0008,-0.0003,9042.51,521.8,8128.82,1579.87,553.79,38.78,518.67,0.03,2388.06,1402.27,100.0,392,2388.11,1.3,642.5,2388,8.4182,21.61,47.6,14.62,23.2688
2,7,100.0,0.0019,0.0,9050.22,520.97,8127.07,1594.28,553.56,38.75,518.67,0.03,2388.07,1405.38,100.0,393,2388.14,1.3,642.63,2388,8.4113,21.61,47.52,14.62,23.5222
2,8,100.0,0.0015,0.0003,9050.66,521.72,8134.66,1583.23,553.16,38.79,518.67,0.03,2388.15,1404.58,100.0,391,2388.07,1.3,642.61,2388,8.443,21.61,47.41,14.62,23.224
2,9,100.0,-0.0022,0.0003,9051.36,521.48,8131.51,1588.74,553.25,38.71,518.67,0.03,2388.08,1407.54,100.0,392,2388.09,1.3,642.28,2388,8.4459,21.61,47.47,14.62,23.273
2,10,100.0,0.0021,0.0004,9053.96,521.09,8123.71,1590.87,553.45,38.92,518.67,0.03,2388.1,1406.04,100.0,392,2388.12,1.3,642.53,2388,8.4211,21.61,47.47,14.62,23.3399
2,11,100.0,-0.001,0.0,9044.28,521.25,8124.59,1594.61,553.65,38.81,518.67,0.03,2388.12,1407.53,100.0,392,2388.08,1.3,642.57,2388,8.3784,21.61,47.37,14.62,23.3423
2,12,100.0,0.0022,-0.0001,9051.27,521.43,8130.06,1599.04,553.66,38.79,518.67,0.03,2388.08,1412.05,100.0,392,2388.12,1.3,642.7,2388,8.3877,21.61,47.64,14.62,23.2849
2,13,100.0,0.0034,0.0001,9044.51,521.3,8128.62,1583.94,553.64,38.9,518.67,0.03,2388.1,1402.56,100.0,393,2388.13,1.3,642.35,2388,8.4313,21.61,47.39,14.62,23.3169
2,14,100.0,-0.0013,0.0,9047.88,522.15,8127.22,1589.62,552.55,38.93,518.67,0.03,2388.04,1402.63,100.0,393,2388.17,1.3,642.46,2388,8.4346,21.61,47.53,14.62,23.3479
2,15,100.0,-0.0009,0.0,9042.9,521.55,8124.9,1582.15,553.47,38.87,518.67,0.03,2388.15,1398.72,100.0,394,2388.1,1.3,642.33,2388,8.429,21.61,47.65,14.62,23.393
2,16,100.0,0.0018,-0.0002,9046.42,521.59,8128.06,1588.49,554.01,38.86,518.67,0.03,2388.12,1401.46,100.0,393,2388.15,1.3,642.54,2388,8.4817,21.61,47.32,14.62,23.361
2,17,100.0,-0.0012,0.0005,9047.39,521.39,8132.92,1583.24,554.54,38.71,518.67,0.03,2388.07,1408.27,100.0,392,2388.05,1.3,641.91,2388,8.4357,21.61,47.53,14.62,23.2601
2,18,100.0,0.0005,0.0001,9049.76,521.52,8127.02,1596.19,553.64,38.83,518.67,0.03,2388.09,1403.2,100.0,392,2388.12,1.3,642.45,2388,8.4451,21.61,47.3,14.62,23.2268
2,19,100.0,0.0005,-0.0,9041.39,521.87,8130.19,1595.07,553.73,38.77,518.67,0.03,2388.08,1405.63,100.0,392,2388.14,1.3,642.37,2388,8.4992,21.61,47.4,14.62,23.3142
2,20,100.0,0.0039,0.0004,9048.61,521.43,8129.88,1589.15,553.51,38.77,518.67,0.03,2388.15,1400.69,100.0,393,2388.12,1.3,642.72,2388,8.4578,21.61,47.55,14.62,23.2495
2,21,100.0,-0.0038,-0.0003,9047.49,521.44,8134.08,1590.72,553.3,38.89,518.67,0.03,2388.12,1402.4,100.0,394,2388.08,1.3,642.32,2388,8.4513,21.61,47.62,14.62,23.3836
2,22,100.0,0.0005,0.0003,9052.75,522.09,8126.33,1585.48,554.22,38.88,518.67,0.03,2388.09,1412.69,100.0,393,2388.05,1.3,642.44,2388,8.4271,21.61,47.54,14.62,23.2475
2,23,100.0,-0.0003,0.0003,9048.31,522.12,8126.07,1591.13,553.75,39.01,518.67,0.03,2388.11,1407.82,100.0,393,2388.15,1.3,642.69,2388,8.4435,21.61,47.33,14.62,23.3193
2,24,100.0,0.001,-0.0004,9054.48,521.66,8137.07,1590.83,553.43,39.03,518.67,0.03,2388.11,1408.84,100.0,392,2388.1,1.3,643.17,2388,8.4307,21.61,47.45,14.62,23.2738
2,25,100.0,0.0014,-0.0004,9052.54,521.62,8133.08,1590.17,553.24,38.86,518.67,0.03,2388.12,1404.7,100.0,392,2388.04,1.3,643.33,2388,8.4306,21.61,47.52,14.62,23.3787
2,26,100.0,0.0012,0.0001,9054.46,520.62,8129.67,1587.04,552.7,38.93,518.67,0.03,2388.1,1408.29,100.0,392,2388.16,1.3,642.51,2388,8.4081,21.61,47.46,14.62,23.2403
2,27,100.0,-0.0009,0.0004,9052.56,521.63,8127.87,1596.98,553.3,38.82,518.67,0.03,2388.11,1408.7,100.0,393,2388.16,1.3,642.54,2388,8.4669,21.61,47.53,14.62,23.2959
2,28,100.0,-0.0008,-0.0,9044.3,521.19,8129.68,1592.33,553.75,38.76,518.67,0.03,2388.08,1404.59,100.0,393,2388.12,1.3,642.16,2388,8.4276,21.61,47.47,14.62,23.357
2,29,100.0,-0.0015,-0.0004,9048.68,521.15,8124.7,1581.85,553.82,39.0,518.67,0.03,2388.12,1401.94,100.0,394,2388.1,1.3,642.43,2388,8.4347,21.61,47.37,14.62,23.3035
