engine_id,cycle,set1,set2,set3,sensor_val1,sensor_val2,sensor_val3,sensor_val4,sensor_val5,sensor_val6,sensor_val7,sensor_val8,sensor_val9,sensor_val10,sensor_val11,sensor_val12,sensor_val13,sensor_val14,sensor_val15,sensor_val16,sensor_val17,sensor_val18,sensor_val19,sensor_val20,sensor_val21
1,1,100.0,-0.0007,-0.0004,9046.19,521.66,8138.62,1589.7,554.36,39.06,518.67,0.03,2388.02,1400.6,100.0,392,2388.06,1.3,641.82,2388,8.4195,21.61,47.47,14.62,23.419
1,2,100.0,0.0019,-0.0003,9044.07,522.28,8131.49,1591.82,553.75,39.0,518.67,0.03,2388.07,1403.14,100.0,392,2388.04,1.3,642.15,2388,8.4318,21.61,47.49,14.62,23.4236
1,3,100.0,-0.0043,0.0003,9052.94,522.42,8133.23,1587.99,554.26,38.95,518.67,0.03,2388.03,1404.2,100.0,390,2388.08,1.3,642.35,2388,8.4178,21.61,47.27,14.62,23.3442
1,4,100.0,0.0007,0.0,9049.48,522.86,8133.83,1582.79,554.45,38.88,518.67,0.03,2388.08,1401.87,100.0,392,2388.11,1.3,642.35,2388,8.3682,21.61,47.13,14.62,23.3739
1,5,100.0,-0.0019,-0.0002,9055.15,522.19,8133.8,1582.85,554.0,38.9,518.67,0.03,2388.04,1406.22,100.0,393,2388.06,1.3,642.37,2388,8.4294,21.61,47.28,14.62,23.4044
1,6,100.0,-0.0043,-0.0001,9049.68,521.68,8132.85,1584.47,554.67,38.98,518.67,0.03,2388.03,1398.37,100.0,391,2388.02,1.3,642.1,2388,8.4108,21.61,47.16,14.62,23.3669
1,7,100.0,0.001,0.0001,9059.13,522.32,8132.32,1592.32,554.34,39.1,518.67,0.03,2388.03,1397.77,100.0,392,2388.02,1.3,642.48,2388,8.3974,21.61,47.36,14.62,23.3774
1,8,100.0,-0.0034,0.0003,9040.8,522.47,8131.07,1582.96,553.85,38.97,518.67,0.03,2388.03,1400.97,100.0,391,2388.0,1.3,642.56,2388,8.4076,21.61,47.24,14.62,23.3106
1,9,100.0,0.0008,0.0001,9046.46,521.79,8125.69,1590.98,553.69,39.05,518.67,0.03,2388.05,1394.8,100.0,392,2388.05,1.3,642.12,2388,8.3728,21.61,47.29,14.62,23.4066
1,10,100.0,-0.0033,0.0001,9051.7,521.79,8129.38,1591.24,553.59,38.95,518.67,0.03,2388.06,1400.46,100.0,393,2388.05,1.3,641.71,2388,8.4286,21.61,47.03,14.62,23.4694
1,11,100.0,0.0018,-0.0003,9049.61,521.4,8140.58,1581.75,554.54,38.94,518.67,0.03,2388.01,1400.64,100.0,392,2388.05,1.3,642.28,2388,8.434,21.61,47.15,14.62,23.4787
1,12,100.0,0.0016,0.0002,9049.37,521.8,8134.25,1583.41,554.52,39.06,518.67,0.03,2388.02,1400.15,100.0,391,2388.09,1.3,642.06,2388,8.3938,21.61,47.18,14.62,23.366
1,13,100.0,-0.0019,0.0004,9046.82,521.85,8128.1,1582.19,553.44,38.93,518.67,0.03,2388.08,1400.83,100.0,393,2388.12,1.3,643.07,2388,8.4152,21.61,47.38,14.62,23.2757
1,14,100.0,0.0009,-0.0,9047.37,521.67,8134.43,1592.95,554.48,39.18,518.67,0.03,2388.0,1399.16,100.0,393,2388.09,1.3,642.35,2388,8.3964,21.61,47.44,14.62,23.3826
1,15,100.0,-0.0018,-0.0003,9052.22,522.5,8127.56,1583.82,553.64,38.99,518.67,0.03,2388.08,1402.13,100.0,391,2388.11,1.3,642.43,2388,8.4199,21.61,47.3,14.62,23.35
1,16,100.0,0.0006,0.0005,9049.34,521.49,8136.11,1587.98,553.94,38.97,518.67,0.03,2388.07,1404.5,100.0,392,2388.05,1.3,642.13,2388,8.3936,21.61,47.24,14.62,23.455
1,17,100.0,0.0002,0.0002,9054.92,521.89,8137.27,1584.96,553.8,38.81,518.67,0.03,2388.04,1399.95,100.0,392,2388.06,1.3,642.58,2388,8.4542,21.61,47.12,14.62,23.3319
1,18,100.0,-0.0031,-0.0001,9049.55,521.76,8132.73,1591.04,554.2,38.89,518.67,0.03,2388.07,1396.12,100.0,392,2388.05,1.3,642.62,2388,8.4028,21.61,47.21,14.62,23.3987
1,19,100.0,0.0032,-0.0003,9053.99,521.89,8129.13,1587.56,554.18,38.8,518.67,0.03,2388.03,1400.35,100.0,391,2388.04,1.3,641.79,2388,8.4321,21.61,47.4,14.62,23.3464
1,20,100.0,-0.0037,0.0001,9045.9,522.07,8129.71,1581.11,554.81,39.03,518.67,0.03,2388.02,1405.23,100.0,392,2388.05,1.3,643.04,2388,8.421,21.61,47.22,14.62,23.422
1,21,100.0,-0.0012,0.0001,9048.15,522.42,8134.02,1586.07,554.08,39.09,518.67,0.03,2388.08,1398.13,100.0,392,2388.11,1.3,642.37,2388,8.4049,21.61,47.15,14.62,23.3101
1,22,100.0,0.0002,0.0,9061.21,522.0,8130.41,1592.93,553.63,38.92,518.67,0.03,2388.03,1400.57,100.0,392,2388.04,1.3,642.77,2388,8.4034,21.61,47.24,14.62,23.3792
1,23,100.0,0.0034,-0.0003,9046.28,521.52,8127.9,1588.19,553.98,38.94,518.67,0.03,2388.05,1394.75,100.0,392,2388.05,1.3,642.14,2388,8.424,21.61,47.25,14.62,23.4562
1,24,100.0,-0.001,0.0003,9043.76,522.13,8133.88,1590.83,553.49,39.0,518.67,0.03,2388.03,1398.81,100.0,392,2388.12,1.3,642.38,2388,8.3891,21.61,47.44,14.62,23.3696
1,25,100.0,0.0023,-0.0004,9054.16,522.56,8136.61,1594.1,554.0,38.95,518.67,0.03,2388.02,1399.39,100.0,393,2388.02,1.3,642.77,2388,8.3917,21.61,47.36,14.62,23.4288
1,26,100.0,0.0,0.0002,9047.11,522.28,8131.15,1589.08,554.11,38.86,518.67,0.03,2388.06,1396.07,100.0,394,2388.07,1.3,642.16,2388,8.426,21.61,47.26,14.62,23.4149
1,27,100.0,-0.0012,-0.0004,9047.96,522.0,8134.6,1590.47,554.07,38.99,518.67,0.03,2388.13,1401.84,100.0,393,2388.02,1.3,642.44,2388,8.4046,21.61,47.37,14.62,23.4472
1,28,100.0,-0.0024,0.0005,9049.84,522.57,8127.3,1582.84,554.68,39.01,518.67,0.03,2388.08,1399.13,100.0,390,2388.12,1.3,642.35,2388,8.4323,21.61,47.41,14.62,23.2841
1,29,100.0,0.0012,-0.0001,9050.47,522.41,8133.06,1584.83,554.25,38.93,518.67,0.03,2388.06,1400.99,100.0,393,2388.05,1.3,641.91,2388,8.4189,21.61,47.24,14.62,23.3597
1,30,100.0,-0.0022,0.0,9045.62,522.19,8137.86,1593.52,554.37,39.05,518.67,0.03,2388.0,1396.08,100.0,390,2388.07,1.3,642.2,2388,8.4065,21.61,47.4,14.62,23.411
1,31,100.0,0.0014,0.0005,9058.78,521.95,8125.28,1584.18,554.13,38.94,518.67,0.03,2388.06,1396.9,100.0,392,2388.08,1.3,642.02,2388,8.4104,21.61,47.41,14.62,23.3353
